ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:39:08"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-13\Raw Data\Slide08_Bmarray_Subclasses_F532.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-13\Raw Data\Images\Slide08_US23502317_1003449804_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2930, 1450"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"F532 Total Intensity"	"SNR 532"	"F532 CV"	"B532 CV"	"Index"
1	1	1	""	""	3240	1740	100	676	804	301	690	760	690	251	20	13	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-14	114	Error	-14	114	64345	0.175	37	33	1
1	2	1	""	""	3480	1740	100	653	654	35	664	670	664	50	9	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-11	-10	Error	-11	-10	52343	-0.320	5	7	2
1	3	1	""	""	3730	1740	100	645	642	35	652	653	652	44	5	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-7	-10	Error	-7	-10	51398	-0.250	5	6	3
1	4	1	""	""	3970	1740	100	670	664	38	650	655	650	47	20	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	20	14	Error	20	14	53099	0.191	5	7	4
1	5	1	""	""	4220	1740	100	652	658	45	657	658	657	38	24	8	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-5	1	Error	-5	1	52642	0.000	6	5	5
1	6	1	""	""	4460	1740	100	654	655	44	668	673	668	55	8	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-14	-13	Error	-14	-13	52432	-0.327	6	8	6
1	7	1	""	""	4710	1740	100	678	681	44	667	676	667	66	11	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	11	14	Error	11	14	54460	0.076	6	9	7
1	8	1	""	""	4950	1740	100	657	659	37	624	624	624	38	39	15	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	33	35	Error	33	35	52748	0.921	5	6	8
1	9	1	""	""	5200	1740	100	611	611	33	604	602	604	42	18	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	7	7	Error	7	7	48856	0.214	5	6	9
1	1	2	""	""	3240	1990	100	1109	1087	366	691	781	691	316	59	29	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	418	396	Error	418	396	86958	0.968	33	40	10
1	2	2	""	""	3480	1990	100	664	671	43	678	682	678	45	10	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-14	-7	Error	-14	-7	53682	-0.244	6	6	11
1	3	2	""	""	3730	1990	100	667	670	40	678	678	678	41	9	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-11	-8	Error	-11	-8	53565	-0.195	5	6	12
1	4	2	""	""	3970	1990	100	669	668	40	667	668	667	41	15	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	2	1	Error	2	1	53417	0.000	5	6	13
1	5	2	""	""	4220	1990	100	656	657	38	654	655	654	46	13	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	2	3	Error	2	3	52577	0.043	5	7	14
1	6	2	""	""	4460	1990	100	682	682	42	669	670	669	42	21	6	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	13	13	Error	13	13	54570	0.286	6	6	15
1	7	2	""	""	4710	1990	100	616	618	34	640	639	640	46	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-24	-22	Error	-24	-22	49469	-0.457	5	7	16
1	8	2	""	""	4950	1990	100	627	622	34	621	622	621	39	14	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	6	1	Error	6	1	49783	0.000	5	6	17
1	9	2	""	""	5200	1990	100	602	602	43	609	609	609	41	15	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-7	-7	Error	-7	-7	48151	-0.171	7	6	18
1	1	3	""	""	3240	2230	100	780	802	102	698	712	698	79	51	23	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	82	104	Error	82	104	64133	1.139	12	11	19
1	2	3	""	""	3480	2230	100	661	660	37	669	673	669	44	6	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-8	-9	Error	-8	-9	52790	-0.295	5	6	20
1	3	3	""	""	3730	2230	100	696	700	46	674	675	674	43	34	9	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	22	26	Error	22	26	56029	0.581	6	6	21
1	4	3	""	""	3970	2230	100	658	662	43	651	651	651	40	26	9	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	7	11	Error	7	11	52961	0.275	6	6	22
1	5	3	""	""	4220	2230	100	645	644	36	647	648	647	40	9	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-2	-3	Error	-2	-3	51511	-0.100	5	6	23
1	6	3	""	""	4460	2230	100	652	655	40	651	650	651	48	11	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	1	4	Error	1	4	52360	0.104	6	7	24
1	7	3	""	""	4710	2230	100	600	606	38	619	618	619	41	10	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-19	-13	Error	-19	-13	48461	-0.293	6	6	25
1	8	3	""	""	4950	2230	100	622	621	38	627	641	627	179	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-5	-6	Error	-5	-6	49669	-0.112	6	27	26
1	9	3	""	""	5200	2230	100	617	611	44	620	620	620	41	14	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-3	-9	Error	-3	-9	48885	-0.220	7	6	27
1	1	4	""	""	3240	2480	100	816	815	122	711	732	711	91	51	29	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	542	100	-75	0	0	105	104	Error	105	104	65185	0.912	14	12	28
1	2	4	""	""	3480	2480	100	668	666	36	666	666	666	42	8	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	542	100	-75	0	0	2	0	Error	2	0	53300	0.000	5	6	29
1	3	4	""	""	3730	2480	100	660	659	39	669	672	669	48	5	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	532	100	-75	0	0	-9	-10	Error	-9	-10	52687	-0.271	5	7	30
1	4	4	""	""	3970	2480	100	660	655	47	648	650	648	43	21	5	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	12	7	Error	12	7	52371	0.116	7	6	31
1	5	4	""	""	4220	2480	100	665	667	41	656	656	656	43	26	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	9	11	Error	9	11	53395	0.256	6	6	32
1	6	4	""	""	4460	2480	100	602	602	51	615	616	615	57	11	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-13	-13	Error	-13	-13	48131	-0.246	8	9	33
1	7	4	""	""	4710	2480	100	613	616	42	611	612	611	44	20	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	2	5	Error	2	5	49254	0.091	6	7	34
1	8	4	""	""	4950	2480	100	638	640	40	629	630	629	39	24	5	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	9	11	Error	9	11	51173	0.256	6	6	35
1	9	4	""	""	5200	2480	100	605	608	43	614	615	614	41	9	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-9	-6	Error	-9	-6	48629	-0.171	7	6	36
1	1	5	"Blank 8"	"148"	3280	2670	100	711	718	89	702	721	702	87	15	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	542	100	-50	0	0	9	16	Error	9	16	57414	-0.034	12	12	37
1	2	5	"Blank 8"	"148"	3520	2670	100	638	640	34	656	657	656	41	4	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	542	100	-50	0	0	-18	-16	Error	-18	-16	51190	-0.415	5	6	38
1	3	5	"Blank 8"	"148"	3770	2660	100	650	644	46	655	656	655	43	11	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	526	100	-50	0	0	-5	-11	Error	-5	-11	51502	-0.279	7	6	39
1	4	5	""	""	3970	2720	100	650	649	42	651	651	651	41	15	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	529	100	-75	0	0	-1	-2	Error	-1	-2	51917	-0.049	6	6	40
1	5	5	""	""	4220	2720	100	639	638	38	636	635	636	43	13	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	535	100	-75	0	0	3	2	Error	3	2	51077	0.070	5	6	41
1	6	5	""	""	4460	2720	100	563	562	37	574	574	574	45	8	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	538	100	-75	0	0	-11	-12	Error	-11	-12	44948	-0.267	6	7	42
1	7	5	""	""	4710	2720	100	637	644	41	615	617	615	46	33	6	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	527	100	-75	0	0	22	29	Error	22	29	51482	0.587	6	7	43
1	8	5	""	""	4950	2720	100	640	645	41	627	629	627	43	26	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	527	100	-75	0	0	13	18	Error	13	18	51565	0.372	6	6	44
1	9	5	""	""	5200	2720	100	613	613	37	622	622	622	43	8	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	516	100	-75	0	0	-9	-9	Error	-9	-9	49076	-0.209	6	6	45
1	1	6	"Lg fr. 26 0.1然"	"100"	3280	2920	100	711	707	53	700	708	700	69	5	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	11	7	Error	11	7	56549	-0.014	7	9	46
1	2	6	"Lg fr. 26 0.1然"	"100"	3530	2910	100	643	644	40	646	647	646	42	11	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-3	-2	Error	-3	-2	51502	-0.071	6	6	47
1	3	6	"Lg fr. 26 0.1然"	"100"	3770	2910	100	643	649	67	646	645	646	40	18	5	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-3	3	Error	-3	3	51899	0.100	10	6	48
