ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:39:08"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-13\Raw Data\Slide08_Bmarray_Subclasses_F532.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-13\Raw Data\Images\Slide08_US23502317_1003449804_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2930, 1450"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"F532 Total Intensity"	"SNR 532"	"F532 CV"	"B532 CV"	"Index"
1	4	6	"Lg fr. 30 0.2然"	"116"	4020	2900	100	631	639	44	642	643	642	44	16	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	535	100	-50	0	0	-11	-3	Error	-11	-3	51123	-0.091	6	6	49
1	5	6	"Lg fr. 30 0.2然"	"116"	4270	2900	100	629	633	44	608	609	608	52	30	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	535	100	-50	0	0	21	25	Error	21	25	50634	0.462	6	8	50
1	6	6	"Lg fr. 30 0.2然"	"116"	4520	2900	100	591	587	40	593	595	593	52	8	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	538	100	-50	0	0	-2	-6	Error	-2	-6	46958	-0.154	6	8	51
1	7	6	"Lg fr. 35 0.1然"	"132"	4770	2890	100	655	650	33	642	643	642	48	6	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	527	100	-50	0	0	13	8	Error	13	8	51999	0.146	5	7	52
1	8	6	"Lg fr. 35 0.1然"	"132"	5010	2890	100	655	659	42	655	657	655	41	21	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	527	100	-50	0	0	0	4	Error	0	4	52714	0.049	6	6	53
1	9	6	"Lg fr. 35 0.1然"	"132"	5260	2880	100	642	639	39	642	642	642	45	11	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	516	100	-50	0	0	0	-3	Error	0	-3	51151	-0.067	6	7	54
1	1	7	"Ng fr.41 1.56然"	"115"	3280	3160	100	712	727	68	700	710	700	69	19	6	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	12	27	Error	12	27	58168	0.246	9	9	55
1	2	7	"Ng fr.41 1.56然"	"115"	3530	3160	100	633	634	43	642	643	642	40	14	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-9	-8	Error	-9	-8	50718	-0.225	6	6	56
1	3	7	"Ng fr.41 1.56然"	"115"	3780	3150	100	633	635	36	644	643	644	42	9	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-11	-9	Error	-11	-9	50836	-0.190	5	6	57
1	4	7	"Lg fr. 17 0.1然"	"131"	4020	3150	100	650	654	46	656	656	656	43	19	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-6	-2	Error	-6	-2	52319	-0.047	7	6	58
1	5	7	"Lg fr. 17 0.1然"	"131"	4270	3150	100	620	615	41	619	623	619	112	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	1	-4	Error	1	-4	49178	-0.071	6	17	59
1	6	7	"Lg fr. 17 0.1然"	"131"	4520	3140	100	630	631	36	621	622	621	54	9	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	9	10	Error	9	10	50488	0.167	5	8	60
1	7	7	"Lg fr. 21 0.9然"	"147"	4770	3140	100	678	683	43	667	666	667	51	23	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	11	16	Error	11	16	54630	0.333	6	7	61
1	8	7	"Lg fr. 21 0.9然"	"147"	5010	3140	100	650	652	40	640	642	640	43	20	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	10	12	Error	10	12	52175	0.233	6	6	62
1	9	7	"Lg fr. 21 0.9然"	"147"	5260	3130	100	635	637	39	638	640	638	44	11	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-3	-1	Error	-3	-1	50970	-0.068	6	6	63
1	1	8	"Ng fr.29 0.9然"	"130"	3280	3410	100	662	661	46	663	672	663	77	6	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-1	-2	Error	-1	-2	52882	-0.143	6	11	64
1	2	8	"Ng fr.29 0.9然"	"130"	3530	3400	100	591	593	42	603	603	603	46	10	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-12	-10	Error	-12	-10	47465	-0.217	7	7	65
1	3	8	"Ng fr.29 0.9然"	"130"	3780	3400	100	655	651	39	643	642	643	45	16	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	12	8	Error	12	8	52067	0.200	5	7	66
1	4	8	"Ng fr.33 2.5然"	"146"	4030	3400	100	666	666	38	658	660	658	42	20	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	8	8	Error	8	8	53246	0.143	5	6	67
1	5	8	"Ng fr.33 2.5然"	"146"	4270	3390	100	620	625	42	636	637	636	47	8	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-16	-11	Error	-16	-11	49994	-0.255	6	7	68
1	6	8	"Ng fr.33 2.5然"	"146"	4520	3390	100	643	646	43	641	643	641	44	18	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	2	5	Error	2	5	51709	0.068	6	6	69
1	7	8	"Ng fr.37 4.3然"	"99"	4770	3390	100	704	704	42	678	680	678	45	33	8	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	26	26	Error	26	26	56352	0.533	5	6	70
1	8	8	"Ng fr.37 4.3然"	"99"	5020	3380	100	659	654	41	658	658	658	44	11	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	1	-4	Error	1	-4	52327	-0.091	6	6	71
1	9	8	"Ng fr.37 4.3然"	"99"	5260	3380	100	635	631	37	636	636	636	38	11	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-1	-5	Error	-1	-5	50492	-0.132	5	5	72
1	1	9	"Ng fr.17 0.7然"	"145"	3290	3650	100	638	638	46	625	632	625	57	14	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	13	13	Error	13	13	51069	0.105	7	9	73
1	2	9	"Ng fr.17 0.7然"	"145"	3530	3650	100	593	592	37	594	593	594	42	11	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-1	-2	Error	-1	-2	47329	-0.024	6	7	74
1	3	9	"Ng fr.17 0.7然"	"145"	3780	3650	100	618	623	38	612	613	612	42	23	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	6	11	Error	6	11	49850	0.238	6	6	75
1	4	9	"Ng fr.21 0.5然"	"98"	4030	3640	100	600	603	43	617	618	617	48	9	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-17	-14	Error	-17	-14	48240	-0.312	7	7	76
1	5	9	"Ng fr.21 0.5然"	"98"	4280	3640	100	606	613	39	602	603	602	45	20	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	4	11	Error	4	11	49038	0.222	6	7	77
1	6	9	"Ng fr.21 0.5然"	"98"	4520	3640	100	637	632	49	614	616	614	50	28	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	23	18	Error	23	18	50561	0.320	7	8	78
1	7	9	"Ng fr.25 1.9然"	"114"	4770	3630	100	637	640	48	644	646	644	51	16	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-7	-4	Error	-7	-4	51220	-0.118	7	7	79
1	8	9	"Ng fr.25 1.9然"	"114"	5020	3630	100	687	688	44	672	671	672	44	25	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	15	16	Error	15	16	55031	0.386	6	6	80
1	9	9	"Ng fr.25 1.9然"	"114"	5270	3630	100	665	663	40	642	643	642	42	28	9	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	23	21	Error	23	21	53037	0.476	6	6	81
1	1	10	"Ng fr.11 10然"	"97"	3290	3900	100	563	560	42	545	545	545	91	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	18	15	Error	18	15	44830	0.165	7	16	82
1	2	10	"Ng fr.11 10然"	"97"	3540	3900	100	532	534	46	522	526	522	84	5	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	10	12	Error	10	12	42715	0.095	8	15	83
1	3	10	"Ng fr.11 10然"	"97"	3780	3890	100	544	543	48	540	538	540	83	6	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	4	3	Error	4	3	43455	0.060	8	15	84
1	4	10	"Ng fr.12 5然"	"113"	4030	3890	100	533	537	43	543	541	543	80	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-10	-6	Error	-10	-6	42959	-0.050	8	14	85
1	5	10	"Ng fr.12 5然"	"113"	4280	3890	100	541	549	61	541	538	541	72	16	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	0	8	Error	0	8	43889	0.153	11	13	86
1	6	10	"Ng fr.12 5然"	"113"	4530	3880	100	577	574	44	535	533	535	59	34	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	42	39	Error	42	39	45919	0.695	7	11	87
1	7	10	"Ng fr.13 1然"	"129"	4770	3880	100	560	560	41	547	540	547	69	10	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	13	13	Error	13	13	44761	0.290	7	12	88
1	8	10	"Ng fr.13 1然"	"129"	5020	3880	100	580	581	42	567	567	567	63	14	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	13	14	Error	13	14	46462	0.222	7	11	89
1	9	10	"Ng fr.13 1然"	"129"	5270	3880	100	549	556	43	556	550	556	63	9	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-7	0	Error	-7	0	44496	0.095	7	11	90
1	1	11	"Lg 23-12"	"85"	3300	4180	50	1043	1061	131	150	195	150	94	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	893	911	Error	893	911	12733	9.213	12	48	91
1	2	11	"Lg 23-12"	"85"	3560	4140	60	867	716	349	312	282	312	120	72	66	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	555	404	Error	555	404	22896	3.617	48	42	92
1	3	11	"Lg 23-12"	"85"	3810	4180	50	977	1007	171	141	179	141	87	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	836	866	Error	836	866	12078	9.517	16	48	93
1	4	11	"Print buffer"	"89"	4030	4140	60	625	597	179	253	254	253	133	88	75	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	372	344	Error	372	344	19101	2.579	29	52	94
1	5	11	"Print buffer"	"89"	4280	4140	60	705	630	194	257	251	257	131	81	75	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	448	373	Error	448	373	20152	2.893	30	52	95
1	6	11	"Print buffer"	"89"	4540	4160	60	682	682	195	249	248	249	121	94	88	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	433	433	Error	433	433	21828	3.587	28	48	96
1	7	11	"Print buffer"	"93"	4760	4150	60	457	423	149	307	276	307	120	59	16	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	150	116	Error	150	116	13524	1.225	35	43	97
1	8	11	"Print buffer"	"93"	5020	4130	60	376	371	129	382	321	382	155	13	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	-6	-11	Error	-6	-11	11864	0.323	34	48	98
1	9	11	"Print buffer"	"93"	5300	4140	60	475	447	152	387	329	387	154	28	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	88	60	Error	88	60	14311	0.766	34	46	99
1	1	12	"Lg 17-16 1 然"	"73"	3280	4390	60	876	860	393	251	242	251	115	81	81	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	625	609	Error	625	609	27508	5.374	45	47	100
1	2	12	"Lg 17-16 1 然"	"73"	3530	4370	60	721	714	259	244	240	244	112	91	78	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	477	470	Error	477	470	22847	4.232	36	46	101
1	3	12	"Lg 17-16 1 然"	"73"	3790	4360	60	695	690	201	259	243	259	125	94	88	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	436	431	Error	436	431	22090	3.576	29	51	102
1	4	12	"Lg 19-8 1 然"	"77"	4040	4380	40	2198	2200	276	106	120	106	50	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	2092	2094	Error	2092	2094	26404	41.600	12	41	103
1	5	12	"Lg 19-8 1 然"	"77"	4280	4390	30	1705	1695	161	104	163	104	118	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4	20	100	0	0	0	1601	1591	Error	1601	1591	6780	12.983	9	72	104
1	6	12	"Lg 19-8 1 然"	"77"	4540	4390	50	733	755	195	103	121	103	51	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	630	652	Error	630	652	9056	12.431	25	42	105
