ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:38:47"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Slide07_Bmarray_Subclasses_F635.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=635"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Images\Slide07_US23502317_1003449801_S01_H_Flipped.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2640, 1420"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"B635 Median"	"B635 Mean"	"B635"	"B635 SD"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"F635 CV"	"B635 CV"	"Index"
1	2	3	""	""	3380	2190	100	6190	6251	378	6184	6203	6184	550	10	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	6	67	16.610	6	67	500093	0.087	6	8	20
1	3	3	""	""	3630	2190	100	6025	6106	622	5993	6052	5993	472	13	5	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	32	113	16.610	32	113	488468	0.114	10	7	21
1	4	3	""	""	3870	2190	100	5872	5953	517	6065	6100	6065	407	9	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-193	-112	16.610	-193	-112	476241	-0.361	8	6	22
1	5	3	""	""	4120	2190	100	6571	6568	390	6628	6680	6628	594	4	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-57	-60	16.610	-57	-60	525460	-0.189	5	8	23
1	6	3	""	""	4360	2190	100	7063	7150	524	7164	7181	7164	445	18	8	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-101	-14	16.610	-101	-14	572032	-0.070	7	6	24
1	7	3	""	""	4610	2190	100	7539	7526	460	7493	7563	7493	488	16	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	46	33	16.610	46	33	602108	-0.076	6	6	25
1	8	3	""	""	4850	2190	100	7765	7785	549	7740	7818	7740	632	8	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	25	45	16.610	25	45	622807	-0.052	7	8	26
1	9	3	""	""	5100	2190	100	7816	7891	485	7812	7858	7812	534	16	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	4	79	16.610	4	79	631295	0.062	6	6	27
1	1	4	""	""	3140	2440	100	5470	5498	300	5523	5539	5523	418	8	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	558	100	-75	0	0	-53	-25	16.610	-53	-25	439801	-0.098	5	7	28
1	2	4	""	""	3380	2440	100	5511	5524	333	5594	5656	5594	618	4	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	558	100	-75	0	0	-83	-70	16.610	-83	-70	441959	-0.214	6	10	29
1	3	4	""	""	3630	2440	100	5774	5845	587	5896	5973	5896	625	5	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-122	-51	16.610	-122	-51	467638	-0.205	10	10	30
1	4	4	""	""	3870	2440	100	6319	6331	379	6398	6436	6398	593	8	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-79	-67	16.610	-79	-67	506515	-0.177	5	9	31
1	5	4	""	""	4120	2440	100	7315	7313	408	7119	7162	7119	604	16	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	196	194	16.610	196	194	585061	0.250	5	8	32
1	6	4	""	""	4360	2440	100	7787	7790	304	7761	7751	7761	554	3	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	26	29	16.610	26	29	623226	0.070	3	7	33
1	7	4	""	""	4610	2440	100	8280	8273	402	8160	8208	8160	588	11	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	120	113	16.610	120	113	661801	0.111	4	7	34
1	8	4	""	""	4850	2440	100	8367	8405	467	8504	8569	8504	679	8	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-137	-99	16.610	-137	-99	672370	-0.242	5	7	35
1	9	4	""	""	5100	2440	100	8453	8577	663	8487	8521	8487	640	11	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-34	90	16.610	-34	90	686191	0.087	7	7	36
1	1	5	"Blank 8"	"148"	3240	2630	100	5523	5524	325	5525	5534	5525	434	10	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	558	100	-50	0	0	-2	-1	16.610	-2	-1	441942	-0.023	5	7	37
1	2	5	"Blank 8"	"148"	3480	2630	100	5989	6031	468	6023	6080	6023	499	5	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	558	100	-50	0	0	-34	8	16.610	-34	8	482453	-0.098	7	8	38
1	3	5	"Blank 8"	"148"	3730	2640	100	6697	6752	380	6608	6656	6608	460	18	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	483	100	-50	0	0	89	144	16.610	89	144	540195	0.209	5	6	39
1	4	5	""	""	3870	2680	100	7204	7208	376	7252	7261	7252	475	8	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	483	100	-75	0	0	-48	-44	16.610	-48	-44	576678	-0.112	5	6	40
1	5	5	""	""	4120	2680	100	7860	7860	313	7857	7872	7857	493	5	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	3	3	16.610	3	3	628780	-0.024	3	6	41
