ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:38:04"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Slide05_Bmarray_Subclasses_F532.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Images\Slide05_US23502317_1003449803_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=3080, 1670"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F532 Total Intensity"	"SNR 532"	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
-75	0	0	1	1	1	""	""	3230	1960	100	78	78	11	14	79	79	79	11	13	9	3	0	6209	-0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	-1	-1	-1	80	560	100	1
-75	0	0	1	2	1	""	""	3470	1960	100	78	82	22	26	79	79	81	15	18	14	1	0	6528	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	3	-1	3	80	560	100	2
-75	0	0	1	3	1	""	""	3720	1960	100	75	76	12	15	78	78	80	17	21	3	1	0	6070	-0.235	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-3	-2	-3	-2	80	560	100	3
-75	0	0	1	4	1	""	""	3960	1960	100	86	86	13	15	84	84	86	18	20	11	0	0	6851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	2	2	2	2	80	560	100	4
-75	0	0	1	5	1	""	""	4210	1960	100	85	87	13	14	80	80	82	16	19	21	5	0	6939	0.313	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	5	7	5	7	80	560	100	5
-75	0	0	1	6	1	""	""	4450	1960	100	78	85	28	32	79	79	81	15	18	20	11	0	6793	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	6	-1	6	80	560	100	6
-75	0	0	1	7	1	""	""	4700	1960	100	40	42	10	23	69	69	67	19	28	0	0	0	3370	-1.316	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-29	-27	-29	-27	80	560	100	7
-75	0	0	1	8	1	""	""	4940	1960	100	38	38	6	15	53	53	56	20	35	0	0	0	3065	-0.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-15	-15	-15	-15	80	560	100	8
-75	0	0	1	9	1	""	""	5190	1960	100	74	74	10	13	70	70	70	11	15	16	3	0	5901	0.364	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	4	4	4	4	80	560	100	9
-75	0	0	1	1	2	""	""	3230	2210	100	68	68	10	14	72	72	74	15	20	1	0	0	5417	-0.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-4	-4	-4	-4	80	560	100	10
-75	0	0	1	2	2	""	""	3470	2210	100	79	78	12	15	75	75	77	15	19	13	3	0	6267	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	4	3	4	3	80	560	100	11
-75	0	0	1	3	2	""	""	3720	2210	100	77	77	11	14	73	73	74	10	13	29	8	0	6145	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	4	4	4	4	80	560	100	12
-75	0	0	1	4	2	""	""	3960	2210	100	71	72	11	15	74	74	77	30	38	1	0	0	5793	-0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-3	-2	-3	-2	80	560	100	13
-75	0	0	1	5	2	""	""	4210	2210	100	75	89	91	102	74	74	79	33	41	4	4	0	7115	0.303	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	15	1	15	80	560	100	14
-75	0	0	1	6	2	""	""	4450	2210	100	77	78	11	14	74	74	75	17	22	14	1	0	6228	0.176	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	3	4	3	4	80	560	100	15
-75	0	0	1	7	2	""	""	4700	2210	100	69	75	57	76	71	71	72	11	15	10	5	0	6007	0.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-2	4	-2	4	80	560	100	16
-75	0	0	1	8	2	""	""	4940	2210	100	71	73	9	12	73	73	74	14	18	6	0	0	5809	-0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-2	0	-2	0	80	560	100	17
-75	0	0	1	9	2	""	""	5190	2210	100	70	71	13	18	71	71	72	11	15	18	5	0	5663	-0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	0	-1	0	80	560	100	18
-75	0	0	1	1	3	""	""	3230	2450	100	68	68	11	16	66	66	66	12	18	18	5	0	5472	0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	2	2	2	2	80	560	100	19
