ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:39:52"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-13\Raw Data\Slide10_Bmarray_Subclasses_F635.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=635"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-13\Raw Data\Images\Slide10_US23502317_1003449802_S01_H_Flipped.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=3030, 1290"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"B635 Median"	"B635 Mean"	"B635"	"B635 SD"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"F635 CV"	"B635 CV"	"Index"
1	1	1	""	""	3160	1580	100	48	49	14	50	52	50	19	6	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-2	-1	16.610	-2	-1	3914	-0.158	28	36	1
1	2	1	""	""	3400	1580	100	48	51	13	49	50	49	11	24	6	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-1	2	16.610	-1	2	4084	0.091	25	22	2
1	3	1	""	""	3650	1580	100	49	51	11	48	50	48	11	28	5	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	1	3	16.610	1	3	4104	0.091	21	22	3
1	4	1	""	""	3890	1580	100	48	48	11	48	50	48	12	16	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	0	0	Error	0	0	3873	-0.167	22	24	4
1	5	1	""	""	4140	1580	100	50	50	11	48	49	48	14	14	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	2	2	16.610	2	2	4020	0.071	22	28	5
1	6	1	""	""	4380	1580	100	48	50	12	47	49	47	13	16	5	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	1	3	16.610	1	3	3985	0.077	24	26	6
1	7	1	""	""	4630	1580	100	48	49	11	47	49	47	11	19	6	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	1	2	16.610	1	2	3945	0.000	22	22	7
1	8	1	""	""	4870	1580	100	44	45	9	46	48	46	12	6	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-2	-1	16.610	-2	-1	3580	-0.250	20	25	8
1	9	1	""	""	5120	1580	100	44	45	10	47	48	47	10	13	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-3	-2	16.610	-3	-2	3587	-0.300	22	20	9
1	1	2	""	""	3160	1830	100	53	52	11	49	50	49	12	15	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	4	3	16.610	4	3	4133	0.167	21	24	10
1	2	2	""	""	3400	1830	100	49	49	11	47	48	47	12	19	6	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	2	2	16.610	2	2	3951	0.083	22	25	11
1	3	2	""	""	3650	1830	100	47	48	11	48	49	48	11	13	1	0	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-1	0	16.610	-1	0	3859	-0.091	22	22	12
1	4	2	""	""	3890	1830	100	49	48	10	47	49	47	11	13	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	2	1	16.610	2	1	3867	-0.091	20	22	13
