ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:38:47"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Slide07_Bmarray_Subclasses_F532.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Images\Slide07_US23502317_1003449801_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2640, 1420"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F532 Total Intensity"	"SNR 532"	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
-75	0	0	1	1	1	""	""	3140	1700	100	83	83	9	10	83	83	84	15	17	4	0	0	6679	-0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	80	560	100	1
-75	0	0	1	2	1	""	""	3380	1700	100	59	60	7	11	63	63	63	9	14	4	0	0	4775	-0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-4	-3	-4	-3	80	560	100	2
-75	0	0	1	3	1	""	""	3630	1700	100	56	56	9	16	58	58	59	8	13	9	4	0	4514	-0.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-2	-2	-2	-2	80	560	100	3
-75	0	0	1	4	1	""	""	3870	1700	100	52	53	7	13	55	55	56	9	16	6	0	0	4251	-0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-3	-2	-3	-2	80	560	100	4
-75	0	0	1	5	1	""	""	4120	1700	100	60	60	9	15	61	61	61	9	14	13	0	0	4805	-0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	-1	-1	-1	80	560	100	5
-75	0	0	1	6	1	""	""	4360	1700	100	64	65	8	12	65	65	66	10	15	10	0	0	5162	-0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	0	-1	0	80	560	100	6
-75	0	0	1	7	1	""	""	4610	1700	100	67	67	8	11	67	67	67	9	13	15	0	0	5395	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	80	560	100	7
-75	0	0	1	8	1	""	""	4850	1700	100	65	67	8	11	67	67	68	10	14	9	3	0	5321	-0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-2	0	-2	0	80	560	100	8
-75	0	0	1	9	1	""	""	5100	1700	100	66	66	8	12	68	68	68	11	16	6	0	0	5305	-0.182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-2	-2	-2	-2	80	560	100	9
-75	0	0	1	1	2	""	""	3140	1950	100	63	63	8	12	68	68	69	13	18	3	0	0	5047	-0.462	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-5	-5	-5	-5	80	560	100	10
