ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:39:08"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-13\Raw Data\Slide08_Bmarray_Subclasses_F635.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=635"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-13\Raw Data\Images\Slide08_US23502317_1003449804_S01_H_Flipped.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2930, 1450"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Total Intensity"	"SNR 635"	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"Log Ratio (635/532)"	"F635 Median - B635"	"F635 Mean - B635"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
-75	0	0	1	1	1	""	""	3240	1740	100	114	139	68	48	112	112	130	60	46	21	14	0	11123	0.150	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	27	2	27	80	560	100	1
-75	0	0	1	2	1	""	""	3480	1740	100	103	106	18	16	107	107	108	19	17	11	4	0	8440	-0.105	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-4	-1	-4	-1	80	560	100	2
-75	0	0	1	3	1	""	""	3730	1740	100	98	99	21	21	100	100	103	43	41	4	0	0	7936	-0.093	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-2	-1	-2	-1	80	560	100	3
-75	0	0	1	4	1	""	""	3970	1740	100	94	95	17	17	100	100	106	54	50	0	0	0	7592	-0.204	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-6	-5	-6	-5	80	560	100	4
-75	0	0	1	5	1	""	""	4220	1740	100	96	97	18	18	95	95	99	28	28	6	1	0	7760	-0.071	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	80	560	100	5
-75	0	0	1	6	1	""	""	4460	1740	100	96	99	16	16	99	99	101	24	23	6	0	0	7924	-0.083	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-3	0	-3	0	80	560	100	6
-75	0	0	1	7	1	""	""	4710	1740	100	100	99	17	17	96	96	99	18	18	14	3	0	7896	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	3	4	3	80	560	100	7
-75	0	0	1	8	1	""	""	4950	1740	100	98	99	15	15	92	92	95	17	17	25	4	0	7911	0.235	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	6	7	6	7	80	560	100	8
-75	0	0	1	9	1	""	""	5200	1740	100	89	90	16	17	91	91	92	16	17	14	4	0	7169	-0.125	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-2	-1	-2	-1	80	560	100	9
-75	0	0	1	1	2	""	""	3240	1990	100	205	222	100	45	113	113	135	71	52	58	40	0	17779	1.225	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	92	109	92	109	80	560	100	10
-75	0	0	1	2	2	""	""	3480	1990	100	107	108	18	16	110	110	112	22	19	9	1	0	8666	-0.182	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-3	-2	-3	-2	80	560	100	11
-75	0	0	1	3	2	""	""	3730	1990	100	102	103	18	17	103	103	107	34	31	6	0	0	8278	-0.118	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	80	560	100	12
-75	0	0	1	4	2	""	""	3970	1990	100	100	100	20	20	98	98	100	20	20	13	1	0	7994	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	2	2	2	80	560	100	13
-75	0	0	1	5	2	""	""	4220	1990	100	96	98	17	17	97	97	99	18	18	16	3	0	7853	-0.056	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	1	-1	1	80	560	100	14
-75	0	0	1	6	2	""	""	4460	1990	100	97	96	16	16	96	96	97	18	18	13	1	0	7661	-0.056	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	1	0	1	0	80	560	100	15
-75	0	0	1	7	2	""	""	4710	1990	100	96	95	15	15	92	92	93	16	17	21	1	0	7575	0.125	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	3	4	3	80	560	100	16
-75	0	0	1	8	2	""	""	4950	1990	100	93	94	17	18	92	92	92	15	16	24	4	0	7558	0.133	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	80	560	100	17
-75	0	0	1	9	2	""	""	5200	1990	100	92	93	14	15	93	93	94	18	19	10	1	0	7448	-0.056	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	80	560	100	18
-75	0	0	1	1	3	""	""	3240	2230	100	163	164	51	31	112	112	123	44	35	51	24	0	13139	0.932	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	51	52	51	52	80	560	100	19
-75	0	0	1	2	3	""	""	3480	2230	100	105	108	20	18	105	105	107	19	17	19	4	0	8654	0.053	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	3	0	3	80	560	100	20
-75	0	0	1	3	3	""	""	3730	2230	100	104	104	18	17	101	101	104	20	19	14	5	0	8342	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	3	3	3	80	560	100	21
-75	0	0	1	4	3	""	""	3970	2230	100	98	96	16	16	93	93	95	19	20	15	3	0	7663	0.053	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5	3	5	3	80	560	100	22
-75	0	0	1	5	3	""	""	4220	2230	100	92	92	15	16	91	91	93	19	20	15	1	0	7336	-0.053	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	80	560	100	23
-75	0	0	1	6	3	""	""	4460	2230	100	92	96	19	19	91	91	93	18	19	24	4	0	7651	0.167	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	5	1	5	80	560	100	24
-75	0	0	1	7	3	""	""	4710	2230	100	88	91	16	17	91	91	92	19	20	11	4	0	7242	-0.053	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-3	0	-3	0	80	560	100	25
-75	0	0	1	8	3	""	""	4950	2230	100	99	96	17	17	94	94	97	25	25	11	0	0	7713	-0.040	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5	2	5	2	80	560	100	26
-75	0	0	1	9	3	""	""	5200	2230	100	96	98	22	22	96	96	98	18	18	18	3	0	7867	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	2	0	2	80	560	100	27
-75	0	0	1	1	4	""	""	3240	2480	100	153	172	68	39	110	110	127	77	60	39	9	0	13731	0.584	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	43	62	43	62	80	542	100	28
-75	0	0	1	2	4	""	""	3480	2480	100	108	110	19	17	103	103	104	19	18	26	6	0	8826	0.316	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5	7	5	7	80	542	100	29
-75	0	0	1	3	4	""	""	3730	2480	100	95	97	20	20	98	98	100	20	20	9	4	0	7745	-0.150	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-3	-1	-3	-1	80	532	100	30
-75	0	0	1	4	4	""	""	3970	2480	100	93	95	16	16	92	92	93	18	19	19	4	0	7582	0.111	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	80	560	100	31
-75	0	0	1	5	4	""	""	4220	2480	100	97	96	16	16	93	93	93	16	17	24	3	0	7711	0.188	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	3	4	3	80	560	100	32
