ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/10 16:43:28"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-10\Raw Data\Slide12_Bmarray_Subclasses_F532.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-10\Raw Data\Slide12_US23502317_1003449802_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2630, 1420"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 CV"	"B532 CV"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"F532 Total Intensity"	"SNR 532"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"
7	2	14	"Ng 18-11 1 然"	"51"	12230	13940	60	1421	1366	1590	1091	1645	1145	55	55	55	8	100	100	69	14	0	0.000	0.000	0.000	0.000	0.000	0.000	52654	198.750	0.000	32	176	100	0	0	0	1366	1590	Error
7	3	14	"Ng 18-11 1 然"	"51"	12480	13940	60	1398	1342	1508	1092	1564	1010	56	56	56	8	100	100	64	14	0	0.000	0.000	0.000	0.000	0.000	0.000	50041	188.500	0.000	32	176	100	0	0	0	1342	1508	Error
7	4	14	"Ng 19-11 3 然"	"55"	12730	13930	60	16197	16141	16840	1093	16896	9443	56	56	56	8	100	100	55	14	0	0.000	0.000	0.000	0.000	0.000	0.000	540667	2105.000	0.000	32	176	100	0	0	0	16141	16840	Error
7	5	14	"Ng 19-11 3 然"	"55"	12970	13920	70	16490	16432	15235	1094	15293	10482	58	58	58	8	100	100	68	13	0	0.000	0.000	0.000	0.000	0.000	0.000	489366	1904.375	0.000	32	236	100	0	0	0	16432	15235	Error
7	6	14	"Ng 19-11 3 然"	"55"	13220	13930	60	12868	12811	14457	1095	14514	9857	57	58	57	9	100	100	67	15	0	0.000	0.000	0.000	0.000	0.000	0.000	464460	1606.222	0.000	32	176	100	0	0	0	12811	14457	Error
7	7	14	"Ng 20-7 1 然"	"59"	13480	13890	30	4404	4340	3885	1096	3949	2082	64	193	64	202	100	100	52	104	0	0.000	0.000	0.000	0.000	0.000	0.000	15797	18.594	0.000	4	20	100	0	0	0	4340	3885	Error
7	8	14	"Ng 20-7 1 然"	"59"	13710	13910	50	426	367	374	1097	433	55	59	60	59	12	100	100	12	20	0	0.000	0.000	0.000	0.000	0.000	0.000	5198	31.083	0.000	12	104	100	0	0	0	367	374	Error
7	9	14	"Ng 20-7 1 然"	"59"	13950	13910	60	384	325	311	1098	370	203	59	59	59	9	100	97	54	15	0	0.000	0.000	0.000	0.000	0.000	0.000	11840	34.556	0.000	32	176	100	0	0	0	325	311	Error
7	1	15	"Ng 15-14/15 1 然"	"39"	11980	14200	70	13453	13395	11887	1099	11945	6212	58	58	58	8	100	100	52	13	0	0.000	0.000	0.000	0.000	0.000	0.000	382230	1485.875	0.000	32	236	100	0	0	0	13395	11887	Error
7	2	15	"Ng 15-14/15 1 然"	"39"	12220	14190	70	14987	14931	13605	1100	13661	6156	56	56	56	8	100	100	45	14	0	0.000	0.000	0.000	0.000	0.000	0.000	437160	1700.625	0.000	32	236	100	0	0	0	14931	13605	Error
7	3	15	"Ng 15-14/15 1 然"	"39"	12480	14200	70	13693	13637	12852	1101	12908	5799	56	57	56	8	100	100	44	14	0	0.000	0.000	0.000	0.000	0.000	0.000	413068	1606.375	0.000	32	236	100	0	0	0	13637	12852	Error
7	4	15	"Ng 17-7 3 然"	"43"	12740	14190	60	10728	10671	9982	1102	10039	4854	57	57	57	8	100	100	48	14	0	0.000	0.000	0.000	0.000	0.000	0.000	321260	1247.750	0.000	32	176	100	0	0	0	10671	9982	Error
7	5	15	"Ng 17-7 3 然"	"43"	12970	14190	70	12169	12111	10584	1103	10642	5486	58	58	58	9	100	100	51	15	0	0.000	0.000	0.000	0.000	0.000	0.000	340530	1176.000	0.000	32	236	100	0	0	0	12111	10584	Error
7	6	15	"Ng 17-7 3 然"	"43"	13220	14170	70	13215	13159	10734	1104	10790	5501	56	57	56	8	100	100	50	14	0	0.000	0.000	0.000	0.000	0.000	0.000	345288	1341.625	0.000	32	236	100	0	0	0	13159	10734	Error
7	7	15	"Ng 17-9 3 然"	"47"	13470	14190	70	8146	8088	6724	1105	6782	3308	58	58	58	9	100	100	48	15	0	0.000	0.000	0.000	0.000	0.000	0.000	217034	747.111	0.000	32	236	100	0	0	0	8088	6724	Error
7	8	15	"Ng 17-9 3 然"	"47"	13730	14170	30	3841	3765	3727	1106	3803	1920	76	1045	76	1529	100	50	50	146	0	0.000	0.000	0.000	0.000	0.000	0.000	15212	1.804	0.000	4	20	100	0	0	0	3765	3727	Error
7	9	15	"Ng 17-9 3 然"	"47"	13950	14200	30	3268	3168	3239	1107	3339	2050	100	1029	100	1533	75	50	61	148	0	0.000	0.000	0.000	0.000	0.000	0.000	13356	1.507	0.000	4	20	100	0	0	0	3168	3239	Error
7	1	16	"Ng 14-8 1 然"	"27"	11980	14440	60	533	474	506	1108	565	311	59	59	59	8	100	97	55	13	0	0.000	0.000	0.000	0.000	0.000	0.000	18070	63.250	0.000	32	176	100	0	0	0	474	506	Error
7	2	16	"Ng 14-8 1 然"	"27"	12210	14450	30	785	711	727	1109	801	382	74	188	74	192	100	75	47	102	0	0.000	0.000	0.000	0.000	0.000	0.000	3205	3.193	0.000	4	20	100	0	0	0	711	727	Error
7	3	16	"Ng 14-8 1 然"	"27"	12460	14450	30	1021	947	960	1110	1034	487	74	210	74	228	100	75	47	108	0	0.000	0.000	0.000	0.000	0.000	0.000	4137	3.614	0.000	4	20	100	0	0	0	947	960	Error
7	4	16	"Ng 14-9 1 然"	"31"	12740	14420	60	210	153	155	1111	212	69	57	58	57	9	100	100	32	15	0	0.000	0.000	0.000	0.000	0.000	0.000	6786	17.111	0.000	32	176	100	0	0	0	153	155	Error
7	5	16	"Ng 14-9 1 然"	"31"	12980	14420	60	232	175	154	1112	211	75	57	59	57	9	100	100	35	15	0	0.000	0.000	0.000	0.000	0.000	0.000	6764	16.889	0.000	32	176	100	0	0	0	175	154	Error
7	6	16	"Ng 14-9 1 然"	"31"	13220	14420	60	228	171	146	1113	203	63	57	58	57	9	100	97	31	15	0	0.000	0.000	0.000	0.000	0.000	0.000	6502	16.111	0.000	32	176	100	0	0	0	171	146	Error
7	7	16	"Ng 14-12 1 然"	"35"	13460	14410	70	21342	21282	17952	1114	18012	9783	60	60	60	9	100	100	54	15	0	0.000	0.000	0.000	0.000	0.000	0.000	576379	1994.667	0.000	32	236	100	0	0	0	21282	17952	Error
7	8	16	"Ng 14-12 1 然"	"35"	13710	14410	70	24066	24009	20385	1115	20442	8876	57	76	57	135	100	100	43	177	0	0.000	0.000	0.000	0.000	0.000	0.000	654153	150.859	0.000	32	236	100	0	0	0	24009	20385	Error
7	9	16	"Ng 14-12 1 然"	"35"	13960	14410	70	20818	20762	17658	1116	17714	7545	56	56	56	10	100	100	42	17	0	0.000	0.000	0.000	0.000	0.000	0.000	566862	1765.800	0.000	32	236	100	0	0	0	20762	17658	Error
7	1	17	"Ng 11-10 3 然"	"15"	11990	14690	60	302	236	228	1117	294	90	66	65	66	10	100	100	30	15	0	0.000	0.000	0.000	0.000	0.000	0.000	9416	22.900	0.000	32	176	100	0	0	0	236	228	Error
7	2	17	"Ng 11-10 3 然"	"15"	12230	14690	60	289	228	219	1118	280	93	61	61	61	8	100	100	33	13	0	0.000	0.000	0.000	0.000	0.000	0.000	8945	27.375	0.000	32	176	100	0	0	0	228	219	Error
7	3	17	"Ng 11-10 3 然"	"15"	12480	14690	60	283	221	215	1119	277	81	62	61	62	9	100	100	29	14	0	0.000	0.000	0.000	0.000	0.000	0.000	8859	24.000	0.000	32	176	100	0	0	0	221	215	Error
7	4	17	"Ng 11-11 1 然"	"19"	12760	14650	60	285	223	199	1120	261	97	62	63	62	11	100	100	37	17	0	0.000	0.000	0.000	0.000	0.000	0.000	8337	18.000	0.000	32	176	100	0	0	0	223	199	Error
7	5	17	"Ng 11-11 1 然"	"19"	12980	14650	50	391	328	334	1121	397	22	63	64	63	9	100	100	5	14	0	0.000	0.000	0.000	0.000	0.000	0.000	4769	37.000	0.000	12	104	100	0	0	0	328	334	Error
7	6	17	"Ng 11-11 1 然"	"19"	13220	14640	60	278	218	210	1122	270	103	60	61	60	9	100	100	38	14	0	0.000	0.000	0.000	0.000	0.000	0.000	8637	23.222	0.000	32	176	100	0	0	0	218	210	Error
7	7	17	"Ng 13-14"	"23"	13490	14690	30	2923	2841	2674	1123	2756	574	82	756	82	1279	100	75	20	169	0	0.000	0.000	0.000	0.000	0.000	0.000	11022	1.564	0.000	4	20	100	0	0	0	2841	2674	Error
7	8	17	"Ng 13-14"	"23"	13740	14680	30	3030	2972	2909	1124	2967	449	58	719	58	1156	100	100	15	160	0	0.000	0.000	0.000	0.000	0.000	0.000	11868	1.945	0.000	4	20	100	0	0	0	2972	2909	Error
7	9	17	"Ng 13-14"	"23"	13940	14690	30	3841	3774	3593	1125	3660	1811	67	1012	67	1575	100	50	49	155	0	0.000	0.000	0.000	0.000	0.000	0.000	14641	1.681	0.000	4	20	100	0	0	0	3774	3593	Error
7	1	18	"Ng 9-9 10然"	"3"	11980	14950	60	416	349	367	1126	434	175	67	69	67	12	100	100	40	17	0	0.000	0.000	0.000	0.000	0.000	0.000	13876	30.417	0.000	32	176	100	0	0	0	349	367	Error
7	2	18	"Ng 9-9 10然"	"3"	12220	14950	70	399	333	345	1127	411	170	66	67	66	9	100	100	41	13	0	0.000	0.000	0.000	0.000	0.000	0.000	13163	38.222	0.000	32	236	100	0	0	0	333	345	Error
7	3	18	"Ng 9-9 10然"	"3"	12480	14950	70	413	345	366	1128	434	169	68	69	68	13	100	100	38	18	0	0.000	0.000	0.000	0.000	0.000	0.000	13883	28.077	0.000	32	236	100	0	0	0	345	366	Error
7	4	18	"Ng 10-10 1 然"	"7"	12730	14920	70	272	206	203	1129	269	95	66	66	66	10	100	100	35	15	0	0.000	0.000	0.000	0.000	0.000	0.000	8609	20.300	0.000	32	236	100	0	0	0	206	203	Error
7	5	18	"Ng 10-10 1 然"	"7"	12980	14930	60	297	234	225	1130	288	107	63	64	63	10	100	100	37	15	0	0.000	0.000	0.000	0.000	0.000	0.000	9219	22.400	0.000	32	176	100	0	0	0	234	225	Error
7	6	18	"Ng 10-10 1 然"	"7"	13220	14920	60	259	196	217	1131	280	111	63	63	63	10	100	100	39	15	0	0.000	0.000	0.000	0.000	0.000	0.000	8956	21.700	0.000	32	176	100	0	0	0	196	217	Error
7	7	18	"Ng 10-13 30 然"	"11"	13460	14920	70	179	127	126	1132	178	56	52	53	52	10	100	100	31	18	0	0.000	0.000	0.000	0.000	0.000	0.000	5696	12.500	0.000	32	236	100	0	0	0	127	126	Error
7	8	18	"Ng 10-13 30 然"	"11"	13720	14910	70	183	128	132	1133	187	52	55	57	55	13	100	100	27	22	0	0.000	0.000	0.000	0.000	0.000	0.000	5972	10.000	0.000	32	236	100	0	0	0	128	132	Error
7	9	18	"Ng 10-13 30 然"	"11"	13950	14910	70	208	144	153	1134	217	69	64	65	64	10	100	100	31	15	0	0.000	0.000	0.000	0.000	0.000	0.000	6931	15.200	0.000	32	236	100	0	0	0	144	153	Error
8	1	1	""	""	16420	10690	100	78	0	3	1135	81	18	78	79	78	12	18	6	22	15	0	0.000	0.000	0.000	0.000	0.000	0.000	6513	0.167	0.000	80	560	100	-75	0	0	0	3	Error
8	2	1	""	""	16660	10690	100	80	-1	0	1136	81	10	81	82	81	13	13	0	12	15	0	0.000	0.000	0.000	0.000	0.000	0.000	6509	-0.077	0.000	80	560	100	-75	0	0	-1	0	Error
8	3	1	""	""	16910	10690	100	79	-1	0	1137	80	14	80	81	80	13	15	4	17	16	0	0.000	0.000	0.000	0.000	0.000	0.000	6437	-0.077	0.000	80	560	100	-75	0	0	-1	0	Error
8	4	1	""	""	17150	10690	100	76	-2	-2	1138	76	12	78	79	78	14	9	1	15	17	0	0.000	0.000	0.000	0.000	0.000	0.000	6093	-0.214	0.000	80	560	100	-75	0	0	-2	-2	Error
8	5	1	""	""	17400	10690	100	97	4	9	1139	102	22	93	96	93	20	28	10	21	20	0	0.000	0.000	0.000	0.000	0.000	0.000	8156	0.300	0.000	80	560	100	-75	0	0	4	9	Error
8	6	1	""	""	17640	10690	100	107	-6	-4	1140	109	13	113	116	113	27	3	0	11	23	0	0.000	0.000	0.000	0.000	0.000	0.000	8740	-0.259	0.000	80	560	100	-75	0	0	-6	-4	Error
8	7	1	""	""	17890	10690	100	152	1	3	1141	154	28	151	156	151	45	4	1	18	28	0	0.000	0.000	0.000	0.000	0.000	0.000	12358	-0.044	0.000	80	560	100	-75	0	0	1	3	Error
8	8	1	""	""	18130	10690	100	124	-1	0	1142	125	17	125	134	125	38	1	0	13	28	0	0.000	0.000	0.000	0.000	0.000	0.000	9999	-0.237	0.000	80	560	100	-75	0	0	-1	0	Error
8	9	1	""	""	18380	10690	100	119	7	7	1143	119	15	112	113	112	18	18	4	12	15	0	0.000	0.000	0.000	0.000	0.000	0.000	9489	0.333	0.000	80	560	100	-75	0	0	7	7	Error
8	1	2	""	""	16420	10940	100	86	8	8	1144	86	11	78	79	78	12	33	8	12	15	0	0.000	0.000	0.000	0.000	0.000	0.000	6904	0.583	0.000	80	560	100	-75	0	0	8	8	Error
8	2	2	""	""	16660	10940	100	77	0	0	1145	77	11	77	77	77	11	15	3	14	14	0	0.000	0.000	0.000	0.000	0.000	0.000	6124	0.000	0.000	80	560	100	-75	0	0	0	0	Error
8	3	2	""	""	16910	10940	100	71	-4	-3	1146	72	9	75	76	75	12	8	0	12	15	0	0.000	0.000	0.000	0.000	0.000	0.000	5758	-0.333	0.000	80	560	100	-75	0	0	-4	-3	Error
8	4	2	""	""	17150	10940	100	73	0	2	1147	75	12	73	74	73	11	21	5	16	14	0	0.000	0.000	0.000	0.000	0.000	0.000	6004	0.091	0.000	80	560	100	-75	0	0	0	2	Error
8	5	2	""	""	17400	10940	100	75	-2	-2	1148	75	8	77	78	77	11	5	0	10	14	0	0.000	0.000	0.000	0.000	0.000	0.000	6007	-0.273	0.000	80	560	100	-75	0	0	-2	-2	Error
8	6	2	""	""	17640	10940	100	88	0	0	1149	88	18	88	91	88	25	3	1	20	27	0	0.000	0.000	0.000	0.000	0.000	0.000	7072	-0.120	0.000	80	560	100	-75	0	0	0	0	Error
8	7	2	""	""	17890	10940	100	104	-2	-1	1150	105	17	106	111	106	28	5	0	16	25	0	0.000	0.000	0.000	0.000	0.000	0.000	8421	-0.214	0.000	80	560	100	-75	0	0	-2	-1	Error
8	8	2	""	""	18130	10940	100	91	-7	-7	1151	91	11	98	100	98	22	1	0	12	22	0	0.000	0.000	0.000	0.000	0.000	0.000	7281	-0.409	0.000	80	560	100	-75	0	0	-7	-7	Error
8	9	2	""	""	18380	10940	100	84	-5	-5	1152	84	11	89	91	89	20	1	0	13	21	0	0.000	0.000	0.000	0.000	0.000	0.000	6743	-0.350	0.000	80	560	100	-75	0	0	-5	-5	Error
8	1	3	""	""	16420	11180	100	78	-3	-1	1153	80	26	81	82	81	13	6	3	32	15	0	0.000	0.000	0.000	0.000	0.000	0.000	6377	-0.154	0.000	80	560	100	-75	0	0	-3	-1	Error
8	2	3	""	""	16660	11180	100	77	-1	0	1154	78	12	78	79	78	14	14	4	15	17	0	0.000	0.000	0.000	0.000	0.000	0.000	6265	-0.071	0.000	80	560	100	-75	0	0	-1	0	Error
8	3	3	""	""	16910	11180	100	78	3	3	1155	78	11	75	77	75	13	19	3	14	16	0	0.000	0.000	0.000	0.000	0.000	0.000	6226	0.077	0.000	80	560	100	-75	0	0	3	3	Error
8	4	3	""	""	17150	11180	100	77	2	1	1156	76	9	75	76	75	13	9	0	11	17	0	0.000	0.000	0.000	0.000	0.000	0.000	6068	0.000	0.000	80	560	100	-75	0	0	2	1	Error
8	5	3	""	""	17400	11180	100	76	1	1	1157	76	11	75	76	75	11	16	6	14	14	0	0.000	0.000	0.000	0.000	0.000	0.000	6118	0.000	0.000	80	560	100	-75	0	0	1	1	Error
8	6	3	""	""	17640	11180	100	73	-6	-3	1158	76	11	79	79	79	12	8	1	14	15	0	0.000	0.000	0.000	0.000	0.000	0.000	6045	-0.250	0.000	80	560	100	-75	0	0	-6	-3	Error
8	7	3	""	""	17890	11180	100	88	2	1	1159	87	11	86	88	86	20	6	0	12	22	0	0.000	0.000	0.000	0.000	0.000	0.000	6963	-0.050	0.000	80	560	100	-75	0	0	2	1	Error
8	8	3	""	""	18130	11180	100	79	-2	-1	1160	80	11	81	83	81	19	6	0	13	22	0	0.000	0.000	0.000	0.000	0.000	0.000	6417	-0.158	0.000	80	560	100	-75	0	0	-2	-1	Error
8	9	3	""	""	18380	11180	100	82	-1	0	1161	83	12	83	85	83	19	9	1	14	22	0	0.000	0.000	0.000	0.000	0.000	0.000	6655	-0.105	0.000	80	560	100	-75	0	0	-1	0	Error
8	1	4	""	""	16420	11430	100	76	-3	3	1162	82	35	79	80	79	13	14	5	42	16	0	0.000	0.000	0.000	0.000	0.000	0.000	6536	0.154	0.000	80	560	100	-75	0	0	-3	3	Error
8	2	4	""	""	16660	11430	100	79	0	-1	1163	78	9	79	80	79	13	3	0	11	16	0	0.000	0.000	0.000	0.000	0.000	0.000	6218	-0.154	0.000	80	560	100	-75	0	0	0	-1	Error
8	3	4	""	""	16910	11430	100	76	-4	-2	1164	78	15	80	82	80	15	3	1	19	18	0	0.000	0.000	0.000	0.000	0.000	0.000	6227	-0.267	0.000	80	560	100	-75	0	0	-4	-2	Error
8	4	4	""	""	17150	11430	100	76	0	1	1165	77	12	76	77	76	14	14	3	15	18	0	0.000	0.000	0.000	0.000	0.000	0.000	6139	0.000	0.000	80	560	100	-75	0	0	0	1	Error
8	5	4	""	""	17400	11430	100	73	-3	-2	1166	74	12	76	77	76	17	9	3	16	22	0	0.000	0.000	0.000	0.000	0.000	0.000	5953	-0.176	0.000	80	560	100	-75	0	0	-3	-2	Error
8	6	4	""	""	17640	11430	100	78	1	25	1167	102	144	77	78	77	11	23	5	141	14	0	0.000	0.000	0.000	0.000	0.000	0.000	8135	2.182	0.000	80	560	100	-75	0	0	1	25	Error
8	7	4	""	""	17890	11430	100	74	-2	-2	1168	74	9	76	77	76	12	5	0	12	15	0	0.000	0.000	0.000	0.000	0.000	0.000	5891	-0.250	0.000	80	560	100	-75	0	0	-2	-2	Error
8	8	4	""	""	18130	11430	100	78	1	1	1169	78	10	77	78	77	12	9	0	12	15	0	0.000	0.000	0.000	0.000	0.000	0.000	6200	0.000	0.000	80	560	100	-75	0	0	1	1	Error
8	9	4	""	""	18380	11430	100	79	-1	-1	1170	79	13	80	81	80	14	13	0	16	17	0	0.000	0.000	0.000	0.000	0.000	0.000	6319	-0.143	0.000	80	560	100	-75	0	0	-1	-1	Error
8	1	5	"Blank 11"	"160"	16460	11730	100	77	0	1	1171	78	17	77	78	77	13	11	5	21	16	0	0.000	0.000	0.000	0.000	0.000	0.000	6269	0.000	0.000	80	560	100	-50	0	0	0	1	Error
8	2	5	"Blank 11"	"160"	16700	11720	100	75	-4	-1	1172	78	11	79	82	79	25	0	0	14	30	0	0.000	0.000	0.000	0.000	0.000	0.000	6213	-0.160	0.000	80	560	100	-50	0	0	-4	-1	Error
8	3	5	"Blank 11"	"160"	16950	11710	100	77	-3	-1	1173	79	18	80	82	80	13	11	3	22	15	0	0.000	0.000	0.000	0.000	0.000	0.000	6285	-0.231	0.000	80	550	100	-50	0	0	-3	-1	Error
8	4	5	""	""	17150	11670	100	79	1	1	1174	79	12	78	81	78	22	5	0	15	27	0	0.000	0.000	0.000	0.000	0.000	0.000	6304	-0.091	0.000	80	550	100	-75	0	0	1	1	Error
8	5	5	""	""	17400	11670	100	78	3	4	1175	79	11	75	77	75	22	9	0	13	28	0	0.000	0.000	0.000	0.000	0.000	0.000	6311	0.091	0.000	80	560	100	-75	0	0	3	4	Error
8	6	5	""	""	17640	11670	100	77	2	4	1176	79	12	75	77	75	13	21	5	15	16	0	0.000	0.000	0.000	0.000	0.000	0.000	6292	0.154	0.000	80	560	100	-75	0	0	2	4	Error
8	7	5	""	""	17890	11670	100	76	2	3	1177	77	10	74	75	74	11	20	3	12	14	0	0.000	0.000	0.000	0.000	0.000	0.000	6191	0.182	0.000	80	560	100	-75	0	0	2	3	Error
8	8	5	""	""	18130	11670	100	77	0	2	1178	79	12	77	79	77	15	13	3	15	18	0	0.000	0.000	0.000	0.000	0.000	0.000	6320	0.000	0.000	80	560	100	-75	0	0	0	2	Error
8	9	5	""	""	18380	11670	100	80	0	1	1179	81	11	80	81	80	23	1	1	13	28	0	0.000	0.000	0.000	0.000	0.000	0.000	6444	0.000	0.000	80	560	100	-75	0	0	0	1	Error
8	1	6	"Lg fr. 29 0.3然"	"112"	16450	12030	40	95	16	17	1180	96	15	79	82	79	25	17	8	15	30	0	0.000	0.000	0.000	0.000	0.000	0.000	1152	0.560	0.000	12	68	100	-50	0	0	16	17	Error
8	2	6	"Lg fr. 29 0.3然"	"112"	16750	11980	40	110	28	24	1181	106	15	82	83	82	11	67	58	14	13	0	0.000	0.000	0.000	0.000	0.000	0.000	1267	2.091	0.000	12	68	100	-50	0	0	28	24	Error
8	3	6	"Lg fr. 29 0.3然"	"112"	16990	11970	100	79	-1	1	1182	81	11	80	82	80	15	8	1	13	18	0	0.000	0.000	0.000	0.000	0.000	0.000	6441	-0.067	0.000	80	560	100	-50	0	0	-1	1	Error
8	4	6	"Lg fr. 33 0.4然"	"128"	17240	11960	70	117	36	41	1183	122	39	81	83	81	19	75	47	31	22	0	0.000	0.000	0.000	0.000	0.000	0.000	3919	2.053	0.000	32	236	100	-50	0	0	36	41	Error
8	5	6	"Lg fr. 33 0.4然"	"128"	17460	11960	100	77	-2	-2	1184	77	9	79	79	79	13	8	0	11	16	0	0.000	0.000	0.000	0.000	0.000	0.000	6197	-0.154	0.000	80	560	100	-50	0	0	-2	-2	Error
8	6	6	"Lg fr. 33 0.4然"	"128"	17700	11950	100	77	-1	0	1185	78	10	78	78	78	11	14	1	12	14	0	0.000	0.000	0.000	0.000	0.000	0.000	6234	0.000	0.000	80	560	100	-50	0	0	-1	0	Error
8	7	6	"Blank 7"	"144"	17950	11950	100	76	-2	-2	1186	76	10	78	80	78	29	1	0	13	36	0	0.000	0.000	0.000	0.000	0.000	0.000	6060	-0.138	0.000	80	560	100	-50	0	0	-2	-2	Error
8	8	6	"Blank 7"	"144"	18190	11940	100	77	0	2	1187	79	14	77	77	77	31	4	0	17	40	0	0.000	0.000	0.000	0.000	0.000	0.000	6339	0.065	0.000	80	560	100	-50	0	0	0	2	Error
8	9	6	"Blank 7"	"144"	18430	11930	100	82	2	0	1188	80	10	80	82	80	19	3	0	12	23	0	0.000	0.000	0.000	0.000	0.000	0.000	6395	-0.105	0.000	80	560	100	-50	0	0	2	0	Error
8	1	7	"Lg fr. 15 0.2然"	"127"	16460	12220	100	83	2	2	1189	83	12	81	83	81	19	9	0	14	22	0	0.000	0.000	0.000	0.000	0.000	0.000	6676	0.000	0.000	80	560	100	-50	0	0	2	2	Error
8	2	7	"Lg fr. 15 0.2然"	"127"	16710	12210	100	78	3	2	1190	77	9	75	77	75	13	10	1	11	16	0	0.000	0.000	0.000	0.000	0.000	0.000	6124	0.000	0.000	80	560	100	-50	0	0	3	2	Error
8	3	7	"Lg fr. 15 0.2然"	"127"	16950	12200	100	72	-2	13	1191	87	89	74	76	74	17	6	3	102	22	0	0.000	0.000	0.000	0.000	0.000	0.000	6959	0.647	0.000	80	560	100	-50	0	0	-2	13	Error
8	4	7	"Lg fr. 20 0.5然"	"143"	17200	12190	100	76	0	1	1192	77	9	76	78	76	15	8	0	11	19	0	0.000	0.000	0.000	0.000	0.000	0.000	6165	-0.067	0.000	80	560	100	-50	0	0	0	1	Error
8	5	7	"Lg fr. 20 0.5然"	"143"	17440	12190	100	80	2	3	1193	81	11	78	81	78	15	14	0	13	18	0	0.000	0.000	0.000	0.000	0.000	0.000	6502	0.000	0.000	80	560	100	-50	0	0	2	3	Error
8	6	7	"Lg fr. 20 0.5然"	"143"	17680	12180	100	80	1	3	1194	82	14	79	81	79	13	16	6	17	16	0	0.000	0.000	0.000	0.000	0.000	0.000	6558	0.077	0.000	80	560	100	-50	0	0	1	3	Error
8	7	7	"Lg fr. 25"	"159"	17930	12170	100	76	1	2	1195	77	12	75	74	75	15	10	1	15	20	0	0.000	0.000	0.000	0.000	0.000	0.000	6123	0.200	0.000	80	560	100	-50	0	0	1	2	Error
8	8	7	"Lg fr. 25"	"159"	18170	12160	100	77	5	7	1196	79	16	72	70	72	17	13	4	20	24	0	0.000	0.000	0.000	0.000	0.000	0.000	6304	0.529	0.000	80	560	100	-50	0	0	5	7	Error
8	9	7	"Lg fr. 25"	"159"	18420	12160	100	79	-2	-1	1197	80	10	81	81	81	12	6	1	12	14	0	0.000	0.000	0.000	0.000	0.000	0.000	6381	-0.083	0.000	80	560	100	-50	0	0	-2	-1	Error
8	1	8	"Ng fr.32 0.9然"	"142"	16460	12450	100	77	2	3	1198	78	12	75	76	75	12	16	4	15	15	0	0.000	0.000	0.000	0.000	0.000	0.000	6274	0.167	0.000	80	560	100	-50	0	0	2	3	Error
8	2	8	"Ng fr.32 0.9然"	"142"	16700	12450	100	71	-1	2	1199	74	14	72	73	72	12	18	5	18	16	0	0.000	0.000	0.000	0.000	0.000	0.000	5901	0.083	0.000	80	560	100	-50	0	0	-1	2	Error
8	3	8	"Ng fr.32 0.9然"	"142"	16950	12440	100	75	2	1	1200	74	11	73	74	73	14	9	1	14	18	0	0.000	0.000	0.000	0.000	0.000	0.000	5946	0.000	0.000	80	560	100	-50	0	0	2	1	Error
8	4	8	"Ng fr.36 2.4然"	"158"	17190	12430	100	75	1	2	1201	76	9	74	74	74	13	11	0	11	17	0	0.000	0.000	0.000	0.000	0.000	0.000	6047	0.154	0.000	80	560	100	-50	0	0	1	2	Error
8	5	8	"Ng fr.36 2.4然"	"158"	17440	12430	40	87	9	44	1202	122	101	78	79	78	13	42	25	82	16	0	0.000	0.000	0.000	0.000	0.000	0.000	1460	3.308	0.000	12	68	100	-50	0	0	9	44	Error
8	6	8	"Ng fr.36 2.4然"	"158"	17680	12420	100	81	2	3	1203	82	13	79	81	79	12	21	6	15	14	0	0.000	0.000	0.000	0.000	0.000	0.000	6585	0.083	0.000	80	560	100	-50	0	0	2	3	Error
