ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:37:43"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Slide04_Bmarray_Subclasses_F532.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Images\Slide04_US23502317_1003449804_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2910, 1760"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F532 Total Intensity"	"SNR 532"	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
-75	0	0	1	1	1	""	""	3210	2050	100	61	66	16	24	64	64	67	20	29	13	4	0	5249	-0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-3	2	-3	2	80	560	100	1
-75	0	0	1	2	1	""	""	3450	2050	100	62	64	12	18	58	58	63	20	31	13	3	0	5133	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	4	6	4	6	80	560	100	2
-75	0	0	1	3	1	""	""	3700	2050	100	88	87	19	21	87	87	89	21	23	14	1	0	6927	-0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	0	1	0	80	560	100	3
-75	0	0	1	4	1	""	""	3940	2050	100	109	109	20	18	94	94	96	20	20	43	6	0	8699	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	15	15	15	15	80	560	100	4
-75	0	0	1	5	1	""	""	4190	2050	100	99	102	19	18	100	100	102	22	21	11	1	0	8150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	2	-1	2	80	560	100	5
-75	0	0	1	6	1	""	""	4430	2050	100	140	141	23	16	111	111	114	27	23	53	18	0	11243	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	29	30	29	30	80	560	100	6
-75	0	0	1	7	1	""	""	4680	2050	100	109	109	14	12	115	115	113	32	28	0	0	0	8720	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-6	-6	-6	-6	80	560	100	7
-75	0	0	1	8	1	""	""	4920	2050	100	105	107	14	13	100	100	101	23	22	13	0	0	8560	0.261	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	5	7	5	7	80	560	100	8
-75	0	0	1	9	1	""	""	5170	2050	100	83	84	10	11	82	82	85	20	23	5	0	0	6685	-0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	2	1	2	80	560	100	9
-75	0	0	1	1	2	""	""	3210	2300	100	47	47	8	17	56	56	62	20	32	0	0	0	3797	-0.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-9	-9	-9	-9	80	560	100	10
-75	0	0	1	2	2	""	""	3450	2300	100	79	81	16	19	78	78	81	24	29	14	0	0	6500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	3	1	3	80	560	100	11
-75	0	0	1	3	2	""	""	3700	2300	100	112	109	20	18	102	102	103	26	25	10	1	0	8732	0.231	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	10	7	10	7	80	560	100	12
-75	0	0	1	4	2	""	""	3940	2300	100	81	83	13	15	92	92	96	19	19	1	0	0	6612	-0.684	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-11	-9	-11	-9	80	560	100	13
