ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2018/02/07 15:52:19"
"Settings=Z:\Laudine\Agilent Scanner Glycan Array\2018.02.03\slide n6 green 532 10PCT.gps"
"GalFile=H:\MyDocs\Brugia malayi\Glycan array\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=Z:\Laudine\Agilent Scanner Glycan Array\2018.02.04\US23502317_1003449805_Sn6_10pct_flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2590, 1590"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"F532 Total Intensity"	"SNR 532"	"F532 CV"	"B532 CV"	"Index"
1	2	2	""	""	3240	2030	100	493	491	36	500	500	500	40	5	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-7	-9	Error	-7	-9	39294	-0.225	7	8	11
1	3	2	""	""	3490	2030	100	510	514	29	491	489	491	36	25	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	19	23	Error	19	23	41145	0.694	5	7	12
1	4	2	""	""	3730	2030	100	490	486	29	482	457	482	96	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	8	4	Error	8	4	38868	0.302	5	21	13
1	5	2	""	""	3980	2030	100	456	422	95	479	444	479	102	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-23	-57	Error	-23	-57	33735	-0.216	22	22	14
1	6	2	""	""	4220	2030	100	390	362	173	393	323	393	184	4	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-3	-31	Error	-3	-31	28995	0.212	47	56	15
1	7	2	""	""	4470	2030	100	699	643	166	629	468	629	285	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	70	14	Error	70	14	51469	0.614	25	60	16
1	8	2	""	""	4710	2030	100	445	446	54	513	576	513	137	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-68	-67	Error	-68	-67	35642	-0.949	12	23	17
1	9	2	""	""	4960	2030	100	510	508	74	477	480	477	43	41	29	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	33	31	Error	33	31	40644	0.651	14	8	18
1	1	3	""	""	3000	2270	100	507	498	59	525	535	525	63	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-18	-27	Error	-18	-27	39829	-0.587	11	11	19
1	2	3	""	""	3240	2270	100	461	466	25	489	499	489	57	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-28	-23	Error	-28	-23	37310	-0.579	5	11	20
1	3	3	""	""	3490	2270	100	478	479	102	482	526	482	122	13	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-4	-3	Error	-4	-3	38327	-0.385	21	23	21
1	4	3	""	""	3730	2270	100	486	480	36	476	476	476	69	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	10	4	Error	10	4	38415	0.058	7	14	22
1	5	3	""	""	3980	2270	100	493	459	101	497	492	497	37	14	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-4	-38	Error	-4	-38	36726	-0.892	22	7	23
1	6	3	""	""	4220	2270	100	535	522	71	489	424	489	139	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	46	33	Error	46	33	41743	0.705	13	32	24
1	7	3	""	""	4470	2270	100	652	662	46	605	575	605	120	10	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	47	57	Error	47	57	52967	0.725	6	20	25
1	8	3	""	""	4710	2270	100	486	485	24	492	495	492	53	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-6	-7	Error	-6	-7	38807	-0.189	4	10	26
1	9	3	""	""	4960	2270	100	515	520	35	504	507	504	37	20	5	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	11	16	Error	11	16	41614	0.351	6	7	27
1	1	4	""	""	3000	2520	100	491	490	27	477	479	477	49	8	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	14	13	Error	14	13	39229	0.224	5	10	28
1	2	4	""	""	3240	2520	100	469	489	59	471	474	471	41	26	19	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-2	18	Error	-2	18	39115	0.366	12	8	29
1	3	4	""	""	3490	2520	100	582	589	49	544	573	544	105	11	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	38	45	Error	38	45	47094	0.152	8	18	30
1	4	4	""	""	3730	2520	100	666	639	88	571	569	571	113	36	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	95	68	Error	95	68	51134	0.619	13	19	31
1	5	4	""	""	3980	2520	100	557	558	76	542	546	542	76	25	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	15	16	Error	15	16	44673	0.158	13	13	32
1	6	4	""	""	4220	2520	100	520	521	53	567	573	567	92	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-47	-46	Error	-47	-46	41699	-0.565	10	16	33
1	7	4	""	""	4470	2520	100	657	654	59	572	594	572	78	58	9	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	85	82	Error	85	82	52323	0.769	9	13	34
1	8	4	""	""	4710	2520	100	534	532	32	538	537	538	48	5	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-4	-6	Error	-4	-6	42521	-0.104	6	8	35
1	9	4	""	""	4960	2520	100	511	509	30	520	534	520	74	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-9	-11	Error	-9	-11	40704	-0.338	5	13	36
1	1	5	"Blank 8"	"148"	2980	2780	50	2192	1912	742	246	252	246	69	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1946	1666	Error	1946	1666	22946	24.058	38	27	37
1	2	5	"Blank 8"	"148"	3220	2780	50	1920	1722	855	254	263	254	93	92	83	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1666	1468	Error	1666	1468	20663	15.688	49	35	38
1	3	5	"Blank 8"	"148"	3470	2770	50	2240	1933	710	244	255	244	86	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1996	1689	Error	1996	1689	23200	19.512	36	33	39
1	4	5	""	""	3730	2760	100	502	497	27	490	474	490	108	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	12	7	Error	12	7	39721	0.213	5	22	40
1	5	5	""	""	3980	2760	100	554	533	59	542	525	542	82	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	12	-9	Error	12	-9	42674	0.098	11	15	41
1	6	5	""	""	4220	2760	100	564	564	32	563	562	563	82	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	1	1	Error	1	1	45133	0.024	5	14	42
1	7	5	""	""	4470	2760	100	796	792	117	547	584	547	127	88	46	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	249	245	Error	249	245	63368	1.638	14	21	43
1	8	5	""	""	4710	2760	100	546	552	30	511	509	511	47	36	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	35	41	Error	35	41	44154	0.915	5	9	44
1	9	5	""	""	4960	2760	100	511	512	31	554	597	554	142	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-43	-42	Error	-43	-42	40980	-0.599	6	23	45
1	1	6	"Lg fr. 26 0.1然"	"100"	2970	3040	40	533	522	68	192	213	192	54	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	341	330	Error	341	330	6265	5.722	13	25	46
1	2	6	"Lg fr. 26 0.1然"	"100"	3210	3040	50	486	499	154	210	226	210	83	92	83	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	276	289	Error	276	289	5990	3.289	30	36	47
1	3	6	"Lg fr. 26 0.1然"	"100"	3450	3040	50	392	373	110	148	165	148	49	83	83	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	244	225	Error	244	225	4474	4.245	29	29	48
1	4	6	"Lg fr. 30 0.2然"	"116"	3710	3020	60	653	722	389	235	231	235	77	81	72	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	418	487	Error	418	487	23099	6.377	53	33	49
1	5	6	"Lg fr. 30 0.2然"	"116"	3950	3020	50	1168	1074	462	213	236	213	108	92	83	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	955	861	Error	955	861	12884	7.759	43	45	50
1	6	6	"Lg fr. 30 0.2然"	"116"	4200	3020	50	1196	1121	551	140	166	140	81	92	92	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1056	981	Error	1056	981	13457	11.790	49	48	51
1	7	6	"Lg fr. 35 0.1然"	"132"	4440	3030	50	1493	1295	463	467	510	467	177	83	75	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1026	828	Error	1026	828	15545	4.435	35	34	52
1	8	6	"Lg fr. 35 0.1然"	"132"	4690	3030	50	909	838	368	256	374	256	279	75	58	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	653	582	Error	653	582	10050	1.663	43	74	53
1	9	6	"Lg fr. 35 0.1然"	"132"	4940	3040	50	1122	1038	239	268	278	268	85	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	854	770	Error	854	770	12455	8.941	23	30	54
1	1	7	"Ng fr.41 1.56然"	"115"	2970	3260	50	546	589	121	151	172	151	82	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	395	438	Error	395	438	7069	5.085	20	47	55
1	2	7	"Ng fr.41 1.56然"	"115"	3220	3260	50	655	633	175	149	177	149	88	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	506	484	Error	506	484	7596	5.182	27	49	56
1	3	7	"Ng fr.41 1.56然"	"115"	3470	3260	50	682	636	273	153	174	153	81	92	83	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	529	483	Error	529	483	7626	5.704	42	46	57
1	4	7	"Lg fr. 17 0.1然"	"131"	3730	3280	50	409	416	73	157	169	157	56	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	252	259	Error	252	259	4987	4.411	17	33	58
1	5	7	"Lg fr. 17 0.1然"	"131"	3980	3280	50	530	488	241	156	160	156	60	83	75	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	374	332	Error	374	332	5850	5.467	49	37	59
1	6	7	"Lg fr. 17 0.1然"	"131"	4220	3300	50	558	572	124	158	188	158	88	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	400	414	Error	400	414	6867	4.364	21	46	60
1	7	7	"Lg fr. 21 0.9然"	"147"	4450	3280	40	551	532	130	374	370	374	92	75	42	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	177	158	Error	177	158	6384	1.761	24	24	61
1	8	7	"Lg fr. 21 0.9然"	"147"	4690	3290	130	411	469	252	446	461	446	116	28	21	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	120	917	100	-100	0	0	-35	23	Error	-35	23	56302	0.069	53	25	62
1	9	7	"Lg fr. 21 0.9然"	"147"	4930	3280	40	381	400	175	180	201	180	93	67	50	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	201	220	Error	201	220	4805	2.140	43	46	63
1	1	8	"Ng fr.29 0.9然"	"130"	2970	3510	70	1930	1783	760	393	573	393	435	81	72	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	236	100	0	0	0	1537	1390	Error	1537	1390	57057	2.782	42	75	64
1	2	8	"Ng fr.29 0.9然"	"130"	3210	3520	70	2008	2025	681	364	545	364	409	97	88	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	236	100	0	0	0	1644	1661	Error	1644	1661	64794	3.619	33	75	65
1	3	8	"Ng fr.29 0.9然"	"130"	3460	3520	70	1942	2001	642	378	527	378	427	97	94	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	236	100	0	0	0	1564	1623	Error	1564	1623	64044	3.452	32	81	66
1	4	8	"Ng fr.33 2.5然"	"146"	3720	3530	60	382	352	155	270	261	270	87	53	34	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	112	82	Error	112	82	11251	1.046	44	33	67
1	5	8	"Ng fr.33 2.5然"	"146"	3970	3520	50	505	500	64	133	160	133	78	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	372	367	Error	372	367	5994	4.359	12	48	68
1	6	8	"Ng fr.33 2.5然"	"146"	4200	3540	60	372	355	169	291	284	291	98	47	34	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	81	64	Error	81	64	11346	0.724	47	34	69
1	7	8	"Ng fr.37 4.3然"	"99"	4460	3520	50	751	736	78	450	477	450	162	100	25	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	301	286	Error	301	286	8836	1.599	10	33	70
1	8	8	"Ng fr.37 4.3然"	"99"	4700	3510	90	506	547	252	470	488	470	125	33	23	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52	420	100	-100	0	0	36	77	Error	36	77	28432	0.472	46	25	71
1	9	8	"Ng fr.37 4.3然"	"99"	4950	3520	50	475	454	149	241	253	241	90	75	67	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	234	213	Error	234	213	5444	2.233	32	35	72
1	1	9	"Ng fr.17 0.7然"	"145"	2980	3750	50	460	451	109	212	228	212	79	83	83	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	248	239	Error	248	239	5414	2.823	24	34	73
1	2	9	"Ng fr.17 0.7然"	"145"	3220	3750	50	493	495	73	191	206	191	71	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	302	304	Error	302	304	5940	4.070	14	34	74
1	3	9	"Ng fr.17 0.7然"	"145"	3460	3750	50	388	367	143	198	221	198	89	75	50	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	190	169	Error	190	169	4403	1.640	38	40	75
1	4	9	"Ng fr.21 0.5然"	"98"	3720	3750	40	448	448	69	154	169	154	44	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	294	294	Error	294	294	5377	6.341	15	26	76
1	5	9	"Ng fr.21 0.5然"	"98"	3960	3750	40	380	379	118	134	139	134	38	100	92	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	246	245	Error	246	245	4543	6.316	31	27	77
1	6	9	"Ng fr.21 0.5然"	"98"	4210	3750	40	400	395	73	134	147	134	41	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	266	261	Error	266	261	4744	6.049	18	27	78
1	7	9	"Ng fr.25 1.9然"	"114"	4440	3740	100	425	494	187	798	773	798	272	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-100	0	0	-373	-304	Error	-373	-304	39544	-1.026	37	35	79
1	8	9	"Ng fr.25 1.9然"	"114"	4710	3760	80	462	430	205	501	523	501	136	15	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52	340	100	-100	0	0	-39	-71	Error	-39	-71	22385	-0.684	47	26	80
1	9	9	"Ng fr.25 1.9然"	"114"	4940	3760	50	493	487	96	286	296	286	108	83	33	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	207	201	Error	207	201	5839	1.769	19	36	81
1	1	10	"Ng fr.11 10然"	"97"	2990	4010	40	380	372	72	211	228	211	75	92	50	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	169	161	Error	169	161	4462	1.920	19	32	82
1	2	10	"Ng fr.11 10然"	"97"	3220	4000	40	354	368	111	178	195	178	63	83	75	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	176	190	Error	176	190	4412	2.746	30	32	83
1	3	10	"Ng fr.11 10然"	"97"	3470	4000	40	389	361	144	190	199	190	63	83	67	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	199	171	Error	199	171	4326	2.571	39	31	84
1	4	10	"Ng fr.12 5然"	"113"	3710	4010	40	351	330	87	141	164	141	71	83	75	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	210	189	Error	210	189	3959	2.338	26	43	85
1	5	10	"Ng fr.12 5然"	"113"	3950	4000	40	382	331	116	217	229	217	100	67	8	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	165	114	Error	165	114	3976	1.020	35	43	86
1	6	10	"Ng fr.12 5然"	"113"	4200	4010	40	301	305	55	130	156	130	57	100	83	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	171	175	Error	171	175	3659	2.614	18	36	87
1	7	10	"Ng fr.13 1然"	"129"	4450	3990	40	634	574	237	401	491	401	210	50	8	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	233	173	Error	233	173	6890	0.395	41	42	88
1	8	10	"Ng fr.13 1然"	"129"	4710	3990	40	406	387	172	273	291	273	115	50	33	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	133	114	Error	133	114	4642	0.835	44	39	89
1	9	10	"Ng fr.13 1然"	"129"	4950	4000	40	503	540	136	336	420	336	196	42	8	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	167	204	Error	167	204	6474	0.612	25	46	90
1	1	11	"Lg 23-12"	"85"	2980	4260	50	2270	1910	1011	218	226	218	67	100	92	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	2052	1692	Error	2052	1692	22914	25.134	52	29	91
1	2	11	"Lg 23-12"	"85"	3220	4260	50	2095	1719	794	207	225	207	76	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1888	1512	Error	1888	1512	20632	19.658	46	33	92
1	3	11	"Lg 23-12"	"85"	3480	4260	50	1897	1845	318	185	203	185	75	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1712	1660	Error	1712	1660	22140	21.893	17	36	93
1	4	11	"Print buffer"	"89"	3720	4260	50	1972	1813	412	262	272	262	81	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1710	1551	Error	1710	1551	21758	19.025	22	29	94
1	5	11	"Print buffer"	"89"	3960	4260	50	1845	1723	374	495	534	495	251	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1350	1228	Error	1350	1228	20672	4.737	21	47	95
1	6	11	"Print buffer"	"89"	4210	4260	50	1908	1722	446	228	255	228	94	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1680	1494	Error	1680	1494	20669	15.606	25	36	96
1	7	11	"Print buffer"	"93"	4450	4250	40	1922	1776	342	571	602	571	171	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	1351	1205	Error	1351	1205	21313	6.865	19	28	97
1	8	11	"Print buffer"	"93"	4690	4250	50	1605	1395	558	343	418	343	242	83	75	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1262	1052	Error	1262	1052	16743	4.037	40	57	98
1	9	11	"Print buffer"	"93"	4940	4260	50	1803	1652	283	262	293	262	97	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1541	1390	Error	1541	1390	19822	14.010	17	33	99
1	1	12	"Lg 17-16 1 然"	"73"	3000	4490	50	2027	1674	810	228	236	228	74	92	92	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1799	1446	Error	1799	1446	20093	19.432	48	31	100
1	2	12	"Lg 17-16 1 然"	"73"	3230	4490	50	1935	1578	521	157	169	157	50	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1778	1421	Error	1778	1421	18937	28.180	33	29	101
1	3	12	"Lg 17-16 1 然"	"73"	3480	4500	50	1678	1489	497	191	201	191	65	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1487	1298	Error	1487	1298	17862	19.815	33	32	102
1	4	12	"Lg 19-8 1 然"	"77"	3720	4500	50	1838	1532	607	281	316	281	154	83	83	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1557	1251	Error	1557	1251	18382	7.896	39	48	103
1	5	12	"Lg 19-8 1 然"	"77"	3960	4490	50	1683	1397	585	240	302	240	196	83	83	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1443	1157	Error	1443	1157	16769	5.587	41	64	104
1	6	12	"Lg 19-8 1 然"	"77"	4210	4490	50	1680	1445	542	232	265	232	130	100	83	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1448	1213	Error	1448	1213	17344	9.077	37	49	105
1	7	12	"Lg 22-12 1 然"	"81"	4470	4500	40	1551	1481	351	540	550	540	162	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	68	100	0	0	0	1011	941	Error	1011	941	17770	5.747	23	29	106
1	8	12	"Lg 22-12 1 然"	"81"	4710	4490	50	1540	1434	658	394	419	394	173	83	75	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1146	1040	Error	1146	1040	17203	5.867	45	41	107
